epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5202455520629883,1.2759344577789307,0.5553039312362671,1.1638566255569458,9.999999747378752e-06
2,0.5632184147834778,1.1689302921295166,0.5803866982460022,1.1248111724853516,9.999999747378752e-06
3,0.5831156373023987,1.1094914674758911,0.5894443392753601,1.0903995037078857,9.999999747378752e-06
4,0.6051462888717651,1.0537387132644653,0.5976310968399048,1.0522583723068237,9.999999747378752e-06
5,0.6175548434257507,1.0160222053527832,0.6098240613937378,1.0451041460037231,9.999999747378752e-06
6,0.6338819265365601,0.9774951934814453,0.6201010346412659,1.0188666582107544,9.999999747378752e-06
7,0.6444182991981506,0.9416548013687134,0.624107301235199,1.0251295566558838,9.999999747378752e-06
8,0.661267876625061,0.9121907353401184,0.6312488913536072,1.0093790292739868,9.999999747378752e-06
9,0.6730668544769287,0.8776543140411377,0.6277651786804199,1.0157580375671387,9.999999747378752e-06
10,0.684909462928772,0.8481091856956482,0.6246298551559448,1.0194529294967651,9.999999747378752e-06
11,0.6923545598983765,0.8249561786651611,0.6265459060668945,1.0502548217773438,9.999999747378752e-06
12,0.7129484415054321,0.7666918635368347,0.6439644694328308,1.0127289295196533,1.9999999949504854e-06
13,0.720001757144928,0.7489694952964783,0.6446611881256104,1.009411096572876,1.9999999949504854e-06
