epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.37238767743110657,1.7334383726119995,0.48179760575294495,1.3976309299468994,0.0010000000474974513
2,0.43138280510902405,1.5338561534881592,0.48388782143592834,1.3900303840637207,0.0010000000474974513
3,0.43721699714660645,1.5134135484695435,0.48893919587135315,1.3624924421310425,0.0010000000474974513
4,0.44270288944244385,1.501383662223816,0.5014805793762207,1.3355035781860352,0.0010000000474974513
5,0.4428335130214691,1.5035583972930908,0.5148928761482239,1.2993334531784058,0.0010000000474974513
6,0.4475356936454773,1.504577875137329,0.5112349987030029,1.3152787685394287,0.0010000000474974513
7,0.4508011043071747,1.4969992637634277,0.49590665102005005,1.3330734968185425,0.0010000000474974513
8,0.4423981308937073,1.5062463283538818,0.506706178188324,1.3272019624710083,0.0010000000474974513
9,0.46791186928749084,1.4319452047348022,0.5223828554153442,1.2700425386428833,0.00020000000949949026
10,0.47492164373397827,1.4142404794692993,0.5201184749603271,1.2706513404846191,0.00020000000949949026
11,0.47357192635536194,1.41086745262146,0.5225570201873779,1.2756937742233276,0.00020000000949949026
12,0.477011501789093,1.3999032974243164,0.5255181789398193,1.2697902917861938,0.00020000000949949026
13,0.47779518365859985,1.3943246603012085,0.518899142742157,1.2668274641036987,0.00020000000949949026
14,0.48236677050590515,1.3807820081710815,0.5213377475738525,1.2672282457351685,0.00020000000949949026
15,0.48075583577156067,1.385033369064331,0.5232537984848022,1.2622543573379517,0.00020000000949949026
16,0.4793625771999359,1.3849992752075195,0.524298906326294,1.2652100324630737,0.00020000000949949026
17,0.47888365387916565,1.384730339050293,0.527434229850769,1.269424557685852,0.00020000000949949026
18,0.48219260573387146,1.3784223794937134,0.5260407328605652,1.2662243843078613,0.00020000000949949026
19,0.48602402210235596,1.3647083044052124,0.5284793376922607,1.262117862701416,4.0000002627493814e-05
20,0.48275861144065857,1.367943525314331,0.5277826189994812,1.2615641355514526,4.0000002627493814e-05
